"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","surface_habitable_logement","adresse_ban","type_energie_n1","conso_chauffage_ef","conso_ecs_ef","conso_refroidissement_ef","conso_eclairage_ef","conso_auxiliaires_ef","conso_chauffage_ep","conso_ecs_ep","conso_refroidissement_ep","conso_eclairage_ep","conso_auxiliaires_ep","cout_chauffage","cout_ecs","cout_refroidissement","cout_eclairage","cout_auxiliaires","type_dpe"
"2501N0897823F","2025-03-16","C","appartement",48.6,"119 Avenue de la République 01630 Saint-Genis-Pouilly","Gaz naturel",1330.2,1249,0,106.6,69,1411.9,1268.8,0,245.2,158.7,188.1,167.2,0,37,24,"existant"
"2501N0907846S","2025-03-17","B","appartement",42.3,"10a rue amédee fornet 01000 Bourg-en-Bresse","Réseau de Chauffage urbain",1687.1,1905.8,0,31.1,7.3,1687.1,1905.8,0,71.5,16.8,150.5,170,0,89.6,21.1,"existant"
"2501N0782272Y","2025-03-06","B","appartement",39.3,"70 rue de loëze 01000 Bourg-en-Bresse","Gaz naturel",913.8,1580,0,28.8,1.9,2101.7,1580,0,66.2,4.4,317.3,207.3,0,82.9,5.5,"existant"
"2501N0897979F","2025-03-16","B","appartement",92.7,"119 Avenue de la République 01630 Saint-Genis-Pouilly","Gaz naturel",1880.9,1942.8,0,177.4,130.1,1978.2,1968.4,0,408,299.2,262.9,259.2,0,61.6,45.2,"existant"
"2501N0782151H","2025-03-06","C","appartement",25.9,"70 rue de loëze 01000 Bourg-en-Bresse","Gaz naturel",607.2,1323.3,0,18.9,1.3,1396.5,1323.3,0,43.6,2.9,210.8,173.6,0,54.6,3.6,"existant"
"2501N0907843P","2025-03-17","B","appartement",33.2,"10a rue amédee fornet 01000 Bourg-en-Bresse","Réseau de Chauffage urbain",1380.3,1702.9,0,24.4,5.7,1380.3,1702.9,0,56.1,13.2,123.1,151.9,0,70.3,16.5,"existant"
"2501N0831652E","2025-03-11","C","maison",85.4,"Rue de la Pierre 01330 Ambérieux-en-Dombes","Gaz naturel",5219.2,1624,0,179.2,78.4,5248.3,1638.6,0,412.2,180.3,639.7,200,0,62.2,27.2,"existant"
"2501N0932334O","2025-03-18","A","maison",85.1,"18 Rue des Acacias 01310 Confrançon","Électricité",1295,758.3,0,161.9,76.7,2978.6,1744,0,372.3,176.4,334.7,196,0,41.8,19.8,"existant"
"2501N0918729H","2025-03-17","C","appartement",62.4,"38 Boulevard des Epinettes 01220 Divonne-les-Bains","Gaz naturel",3127.2,1568.4,0,132.2,135.3,3139.2,1576.5,0,304.1,311.2,412.3,207.1,0,45.9,47,"existant"
"2501N0712878Y","2025-03-02","A","maison",104.6,"Chemin du Grand Chanay 01800 Saint-Maurice-de-Gourdans","Électricité",899.6,596.2,0,188.3,10.5,2069,1371.3,0,433,24.1,250,166,0,52,3,"existant"
